average_class_size,borough,core_course_ms_core_and_9_12_only_,core_subject_ms_core_and_9_12_only_,csd,data_source,grade_,number_of_sections,number_of_students_seats_filled,program_type,school_code,school_name,schoolwide_pupil_teacher_ratio,service_category_k_9_only_,size_of_largest_class,size_of_smallest_class
18.0,M,-,-,2,ATS,06,1,18,CTT,M111,P.S. 111 Adolph S. Ochs,,-,18,18
25.5,M,-,-,2,ATS,07,2,51,GEN ED,M111,P.S. 111 Adolph S. Ochs,,-,26,25
23.0,M,-,-,2,ATS,07,1,23,CTT,M111,P.S. 111 Adolph S. Ochs,,-,23,23
26.0,M,-,-,2,ATS,08,2,52,GEN ED,M111,P.S. 111 Adolph S. Ochs,,-,27,25
,Q,,,27,,,,,,Q051,P.S. 051,13.4,,,
22.0,M,-,-,2,ATS,08,1,22,CTT,M111,P.S. 111 Adolph S. Ochs,,-,22,22
11.0,M,-,-,2,ATS,0K-09,1,11,SPEC ED,M111,P.S. 111 Adolph S. Ochs,,12:1,11,11
24.8,M,MS English Core,ENGLISH,2,STARS,MS Core,6,149,GEN ED,M111,P.S. 111 Adolph S. Ochs,,-,26,24
24.8,M,MS Math Core,MATH,2,STARS,MS Core,6,149,GEN ED,M111,P.S. 111 Adolph S. Ochs,,-,26,24
24.8,M,MS Science Core,SCIENCE,2,STARS,MS Core,6,149,GEN ED,M111,P.S. 111 Adolph S. Ochs,,-,26,24
24.8,M,MS Social Studies Core,SOCIAL STUDIES,2,STARS,MS Core,6,149,GEN ED,M111,P.S. 111 Adolph S. Ochs,,-,26,24
20.7,M,MS English Core,ENGLISH,2,STARS,MS Core,3,62,CTT,M111,P.S. 111 Adolph S. Ochs,,-,22,20
20.7,M,MS Math Core,MATH,2,STARS,MS Core,3,62,CTT,M111,P.S. 111 Adolph S. Ochs,,-,22,20
20.7,M,MS Science Core,SCIENCE,2,STARS,MS Core,3,62,CTT,M111,P.S. 111 Adolph S. Ochs,,-,22,20
20.7,M,MS Social Studies Core,SOCIAL STUDIES,2,STARS,MS Core,3,62,CTT,M111,P.S. 111 Adolph S. Ochs,,-,22,20
,M,,,2,,,,,,M111,P.S. 111 Adolph S. Ochs,10.8,,,
30.0,M,-,-,2,ATS,06,4,120,GEN ED,M114,East Side Middle School,,-,32,29
27.0,M,-,-,2,ATS,06,2,54,CTT,M114,East Side Middle School,,-,27,27
33.7,M,-,-,2,ATS,07,3,101,GEN ED,M114,East Side Middle School,,-,34,33
29.0,M,-,-,2,ATS,07,1,29,CTT,M114,East Side Middle School,,-,29,29
33.7,M,-,-,2,ATS,08,3,101,GEN ED,M114,East Side Middle School,,-,34,33
31.0,M,-,-,2,ATS,08,1,31,CTT,M114,East Side Middle School,,-,31,31
31.6,M,MS English Core,ENGLISH,2,STARS,MS Core,5,158,GEN ED,M114,East Side Middle School,,-,34,29
24.8,M,MS Math Core,MATH,2,STARS,MS Core,13,323,GEN ED,M114,East Side Middle School,,-,34,16
32.2,M,MS Science Core,SCIENCE,2,STARS,MS Core,10,322,GEN ED,M114,East Side Middle School,,-,34,29
29.5,M,MS English Core,ENGLISH,2,STARS,MS Core,2,59,CTT,M114,East Side Middle School,,-,30,29
28.0,M,MS Math Core,MATH,2,STARS,MS Core,4,112,CTT,M114,East Side Middle School,,-,29,27
28.3,M,MS Science Core,SCIENCE,2,STARS,MS Core,4,113,CTT,M114,East Side Middle School,,-,30,27
,M,,,2,,,,,,M114,East Side Middle School,14.8,,,
21.6,M,-,-,2,ATS,0K,5,108,GEN ED,M116,P.S. 116 Mary Lindley Murray,,-,22,21
20.0,M,-,-,2,ATS,0K,1,20,CTT,M116,P.S. 116 Mary Lindley Murray,,-,20,20
20.2,M,-,-,2,ATS,01,5,101,GEN ED,M116,P.S. 116 Mary Lindley Murray,,-,21,20
24.0,M,-,-,2,ATS,01,1,24,CTT,M116,P.S. 116 Mary Lindley Murray,,-,24,24
28.3,M,-,-,2,ATS,02,4,113,GEN ED,M116,P.S. 116 Mary Lindley Murray,,-,30,25
28.0,M,-,-,2,ATS,02,1,28,CTT,M116,P.S. 116 Mary Lindley Murray,,-,28,28
28.8,M,-,-,2,ATS,03,4,115,GEN ED,M116,P.S. 116 Mary Lindley Murray,,-,30,27
25.0,M,-,-,2,ATS,03,1,25,CTT,M116,P.S. 116 Mary Lindley Murray,,-,25,25
25.0,M,-,-,2,ATS,04,4,100,GEN ED,M116,P.S. 116 Mary Lindley Murray,,-,26,24
25.0,M,-,-,2,ATS,04,1,25,CTT,M116,P.S. 116 Mary Lindley Murray,,-,25,25
22.8,M,-,-,2,ATS,05,4,91,GEN ED,M116,P.S. 116 Mary Lindley Murray,,-,26,20
24.0,M,-,-,2,ATS,05,1,24,CTT,M116,P.S. 116 Mary Lindley Murray,,-,24,24
6.0,M,-,-,2,ATS,0K-09,1,6,SPEC ED,M116,P.S. 116 Mary Lindley Murray,,12:1,6,6
,M,,,2,,,,,,M116,P.S. 116 Mary Lindley Murray,13.9,,,
24.8,M,-,-,2,ATS,0K,4,99,GEN ED,M124,P.S. 124 Yung Wing,,-,25,24
18.0,M,-,-,2,ATS,0K,1,18,CTT,M124,P.S. 124 Yung Wing,,-,18,18
24.0,M,-,-,2,ATS,0K,1,24,G&T,M124,P.S. 124 Yung Wing,,-,24,24
25.5,M,-,-,2,ATS,01,4,102,GEN ED,M124,P.S. 124 Yung Wing,,-,26,25
19.0,M,-,-,2,ATS,01,1,19,CTT,M124,P.S. 124 Yung Wing,,-,19,19
,M,,,5,,,,,,M129,P.S. 129 John H. Finley,12.9,,,
25.0,M,-,-,2,ATS,01,1,25,G&T,M124,P.S. 124 Yung Wing,,-,25,25
27.0,M,-,-,2,ATS,02,4,108,GEN ED,M124,P.S. 124 Yung Wing,,-,28,26
17.0,M,-,-,2,ATS,02,1,17,CTT,M124,P.S. 124 Yung Wing,,-,17,17
30.0,M,-,-,2,ATS,02,1,30,G&T,M124,P.S. 124 Yung Wing,,-,30,30
23.8,M,-,-,2,ATS,03,4,95,GEN ED,M124,P.S. 124 Yung Wing,,-,24,23
15.0,M,-,-,2,ATS,03,1,15,CTT,M124,P.S. 124 Yung Wing,,-,15,15
28.0,M,-,-,2,ATS,03,1,28,G&T,M124,P.S. 124 Yung Wing,,-,28,28
32.0,M,-,-,2,ATS,04,3,96,GEN ED,M124,P.S. 124 Yung Wing,,-,32,32
26.0,M,-,-,2,ATS,04,1,26,CTT,M124,P.S. 124 Yung Wing,,-,26,26
29.0,M,-,-,2,ATS,04,1,29,G&T,M124,P.S. 124 Yung Wing,,-,29,29
29.8,M,-,-,2,ATS,05,4,119,GEN ED,M124,P.S. 124 Yung Wing,,-,32,28
32.0,M,-,-,2,ATS,05,1,32,G&T,M124,P.S. 124 Yung Wing,,-,32,32
10.5,M,-,-,2,ATS,0K-09,2,21,SPEC ED,M124,P.S. 124 Yung Wing,,12:1:1,12,9
,M,,,2,,,,,,M124,P.S. 124 Yung Wing,14.1,,,
23.0,M,-,-,2,ATS,0K,2,46,GEN ED,M126,P.S. 126 Jacob August Riis,,-,24,22
20.0,M,-,-,2,ATS,0K,1,20,CTT,M126,P.S. 126 Jacob August Riis,,-,20,20
22.5,M,-,-,2,ATS,01,2,45,GEN ED,M126,P.S. 126 Jacob August Riis,,-,24,21
21.0,M,-,-,2,ATS,01,1,21,CTT,M126,P.S. 126 Jacob August Riis,,-,21,21
17.5,M,-,-,2,ATS,02,2,35,GEN ED,M126,P.S. 126 Jacob August Riis,,-,18,17
16.0,M,-,-,2,ATS,02,1,16,CTT,M126,P.S. 126 Jacob August Riis,,-,16,16
22.5,M,-,-,2,ATS,03,2,45,GEN ED,M126,P.S. 126 Jacob August Riis,,-,23,22
22.0,M,-,-,2,ATS,03,1,22,CTT,M126,P.S. 126 Jacob August Riis,,-,22,22
20.5,M,-,-,2,ATS,04,2,41,GEN ED,M126,P.S. 126 Jacob August Riis,,-,21,20
19.0,M,-,-,2,ATS,04,1,19,CTT,M126,P.S. 126 Jacob August Riis,,-,19,19
19.0,M,-,-,2,ATS,05,2,38,GEN ED,M126,P.S. 126 Jacob August Riis,,-,20,18
22.0,M,-,-,2,ATS,05,1,22,CTT,M126,P.S. 126 Jacob August Riis,,-,22,22
29.0,M,-,-,2,ATS,06,3,87,GEN ED,M126,P.S. 126 Jacob August Riis,,-,30,28
30.0,M,-,-,2,ATS,06,1,30,CTT,M126,P.S. 126 Jacob August Riis,,-,30,30
26.3,M,-,-,2,ATS,07,3,79,GEN ED,M126,P.S. 126 Jacob August Riis,,-,28,25
28.0,M,-,-,2,ATS,07,1,28,CTT,M126,P.S. 126 Jacob August Riis,,-,28,28
29.0,M,-,-,2,ATS,08,3,87,GEN ED,M126,P.S. 126 Jacob August Riis,,-,30,27
29.0,M,-,-,2,ATS,08,1,29,CTT,M126,P.S. 126 Jacob August Riis,,-,29,29
9.5,M,-,-,2,ATS,0K-09,2,19,SPEC ED,M126,P.S. 126 Jacob August Riis,,12:1,11,8
18.8,M,MS English Core,ENGLISH,2,STARS,MS Core,5,94,GEN ED,M126,P.S. 126 Jacob August Riis,,-,20,17
22.7,M,MS Math Core,MATH,2,STARS,MS Core,10,227,GEN ED,M126,P.S. 126 Jacob August Riis,,-,28,17
34.0,M,Integrated Algebra,MATH,2,STARS,MS Core,1,34,GEN ED,M126,P.S. 126 Jacob August Riis,,-,34,34
22.7,M,MS Science Core,SCIENCE,2,STARS,MS Core,10,227,GEN ED,M126,P.S. 126 Jacob August Riis,,-,28,17
34.0,M,Earth Science,SCIENCE,2,STARS,MS Core,1,34,GEN ED,M126,P.S. 126 Jacob August Riis,,-,34,34
23.7,M,MS Social Studies Core,SOCIAL STUDIES,2,STARS,MS Core,11,261,GEN ED,M126,P.S. 126 Jacob August Riis,,-,30,17
23.0,M,MS English Core,ENGLISH,2,STARS,MS Core,1,23,CTT,M126,P.S. 126 Jacob August Riis,,-,23,23
26.3,M,MS Math Core,MATH,2,STARS,MS Core,3,79,CTT,M126,P.S. 126 Jacob August Riis,,-,28,23
26.3,M,MS Science Core,SCIENCE,2,STARS,MS Core,3,79,CTT,M126,P.S. 126 Jacob August Riis,,-,28,23
26.3,M,MS Social Studies Core,SOCIAL STUDIES,2,STARS,MS Core,3,79,CTT,M126,P.S. 126 Jacob August Riis,,-,28,23
27.8,M,MS English Core,ENGLISH,2,STARS,09-12,6,167,GEN ED,M126,P.S. 126 Jacob August Riis,,-,30,25
27.8,M,Other English,ENGLISH,2,STARS,09-12,6,167,GEN ED,M126,P.S. 126 Jacob August Riis,,-,30,25
28.0,M,MS English Core,ENGLISH,2,STARS,09-12,2,56,CTT,M126,P.S. 126 Jacob August Riis,,-,28,28
28.0,M,Other English,ENGLISH,2,STARS,09-12,2,56,CTT,M126,P.S. 126 Jacob August Riis,,-,28,28
,M,,,2,,,,,,M126,P.S. 126 Jacob August Riis,12.3,,,
22.8,M,-,-,2,ATS,0K,5,114,GEN ED,M130,P.S. 130 Hernando De Soto,,-,23,22
28.0,M,-,-,2,ATS,0K,1,28,G&T,M130,P.S. 130 Hernando De Soto,,-,28,28
25.0,M,-,-,2,ATS,01,5,125,GEN ED,M130,P.S. 130 Hernando De Soto,,-,28,19
26.0,M,-,-,2,ATS,01,1,26,G&T,M130,P.S. 130 Hernando De Soto,,-,26,26
27.4,M,-,-,2,ATS,02,5,137,GEN ED,M130,P.S. 130 Hernando De Soto,,-,28,26
25.0,M,-,-,2,ATS,02,1,25,G&T,M130,P.S. 130 Hernando De Soto,,-,25,25
26.6,M,-,-,2,ATS,03,5,133,GEN ED,M130,P.S. 130 Hernando De Soto,,-,28,22
27.0,M,-,-,2,ATS,03,1,27,G&T,M130,P.S. 130 Hernando De Soto,,-,27,27
31.2,M,-,-,2,ATS,04,5,156,GEN ED,M130,P.S. 130 Hernando De Soto,,-,32,31
32.0,M,-,-,2,ATS,04,1,32,G&T,M130,P.S. 130 Hernando De Soto,,-,32,32
28.2,M,-,-,2,ATS,05,5,141,GEN ED,M130,P.S. 130 Hernando De Soto,,-,31,25
32.0,M,-,-,2,ATS,05,1,32,G&T,M130,P.S. 130 Hernando De Soto,,-,32,32
5.5,M,-,-,2,ATS,0K-09,2,11,SPEC ED,M130,P.S. 130 Hernando De Soto,,12:1:1,6,5
,M,,,2,,,,,,M130,P.S. 130 Hernando De Soto,18.8,,,
20.4,M,-,-,2,ATS,06,5,102,GEN ED,M131,M.S. 131,,-,29,14
25.0,M,-,-,2,ATS,06,1,25,CTT,M131,M.S. 131,,-,25,25
24.5,M,-,-,2,ATS,07,8,196,GEN ED,M131,M.S. 131,,-,29,18
19.0,M,-,-,2,ATS,07,2,38,CTT,M131,M.S. 131,,-,20,18
28.8,M,-,-,2,ATS,08,9,259,GEN ED,M131,M.S. 131,,-,33,24
27.0,M,-,-,2,ATS,08,2,54,CTT,M131,M.S. 131,,-,27,27
11.0,M,-,-,2,ATS,0K-09,1,11,SPEC ED,M131,M.S. 131,,12:1,11,11
12.0,M,-,-,2,ATS,0K-09,2,24,SPEC ED,M131,M.S. 131,,12:1:1,13,11
27.8,M,MS English Core,ENGLISH,2,STARS,MS Core,10,278,GEN ED,M131,M.S. 131,,-,33,22
25.3,M,MS Math Core,MATH,2,STARS,MS Core,22,557,GEN ED,M131,M.S. 131,,-,33,14
25.0,M,MS Science Core,SCIENCE,2,STARS,MS Core,22,551,GEN ED,M131,M.S. 131,,-,33,14
,Q,,,27,,,,,,Q096,P.S. 096,14.2,,,
24.6,M,MS Social Studies Core,SOCIAL STUDIES,2,STARS,MS Core,23,566,GEN ED,M131,M.S. 131,,-,33,14
24.0,M,MS English Core,ENGLISH,2,STARS,MS Core,5,120,CTT,M131,M.S. 131,,-,27,20
24.0,M,MS Math Core,MATH,2,STARS,MS Core,5,120,CTT,M131,M.S. 131,,-,27,20
24.0,M,MS Science Core,SCIENCE,2,STARS,MS Core,5,120,CTT,M131,M.S. 131,,-,27,20
24.0,M,MS Social Studies Core,SOCIAL STUDIES,2,STARS,MS Core,5,120,CTT,M131,M.S. 131,,-,27,20
11.3,M,MS English Core,ENGLISH,2,STARS,MS Core,4,45,SPEC ED,M131,M.S. 131,,-,13,10
11.3,M,MS Math Core,MATH,2,STARS,MS Core,3,34,SPEC ED,M131,M.S. 131,,-,13,10
11.3,M,MS Science Core,SCIENCE,2,STARS,MS Core,3,34,SPEC ED,M131,M.S. 131,,-,13,10
11.3,M,MS Social Studies Core,SOCIAL STUDIES,2,STARS,MS Core,3,34,SPEC ED,M131,M.S. 131,,-,13,10
10.0,M,English 12,ENGLISH,2,STARS,09-12,1,10,GEN ED,M131,M.S. 131,,-,10,10
18.0,M,Other Science,SCIENCE,2,STARS,09-12,1,18,GEN ED,M131,M.S. 131,,-,18,18
14.0,M,Other Social Studies,SOCIAL STUDIES,2,STARS,09-12,2,28,GEN ED,M131,M.S. 131,,-,16,12
33.0,M,Other Science,SCIENCE,2,STARS,09-12,1,33,CTT,M131,M.S. 131,,-,33,33
13.0,M,Other Social Studies,SOCIAL STUDIES,2,STARS,09-12,1,13,CTT,M131,M.S. 131,,-,13,13
,M,,,2,,,,,,M131,M.S. 131,12.9,,,
27.0,M,-,-,2,ATS,0K,1,27,GEN ED,M150,P.S. 150,,-,27,27
28.0,M,-,-,2,ATS,01,1,28,GEN ED,M150,P.S. 150,,-,28,28
27.0,M,-,-,2,ATS,02,1,27,GEN ED,M150,P.S. 150,,-,27,27
28.0,M,-,-,2,ATS,03,1,28,GEN ED,M150,P.S. 150,,-,28,28
28.0,M,-,-,2,ATS,04,1,28,GEN ED,M150,P.S. 150,,-,28,28
24.0,M,-,-,2,ATS,05,1,24,GEN ED,M150,P.S. 150,,-,24,24
,M,,,2,,,,,,M150,P.S. 150,15.4,,,
21.7,M,-,-,2,ATS,0K,3,65,GEN ED,M151,Yorkville Community School,,-,23,21
21.0,M,-,-,2,ATS,0K,1,21,CTT,M151,Yorkville Community School,,-,21,21
20.3,M,-,-,2,ATS,01,3,61,GEN ED,M151,Yorkville Community School,,-,22,19
22.0,M,-,-,2,ATS,01,1,22,CTT,M151,Yorkville Community School,,-,22,22
4.0,M,-,-,2,ATS,0K-09,1,4,SPEC ED,M151,Yorkville Community School,,12:1:1,4,4
,M,,,2,,,,,,M151,Yorkville Community School,14.4,,,
25.0,M,-,-,2,ATS,0K,4,100,GEN ED,M158,P.S. 158 Bayard Taylor,,-,26,24
24.0,M,-,-,2,ATS,0K,1,24,CTT,M158,P.S. 158 Bayard Taylor,,-,24,24
24.3,M,-,-,2,ATS,01,4,97,GEN ED,M158,P.S. 158 Bayard Taylor,,-,26,22
25.0,M,-,-,2,ATS,01,1,25,CTT,M158,P.S. 158 Bayard Taylor,,-,25,25
24.3,M,-,-,2,ATS,02,3,73,GEN ED,M158,P.S. 158 Bayard Taylor,,-,26,23
24.5,M,-,-,2,ATS,02,2,49,CTT,M158,P.S. 158 Bayard Taylor,,-,25,24
29.0,M,-,-,2,ATS,03,3,87,GEN ED,M158,P.S. 158 Bayard Taylor,,-,29,29
28.0,M,-,-,2,ATS,03,1,28,CTT,M158,P.S. 158 Bayard Taylor,,-,28,28
30.5,M,-,-,2,ATS,04,2,61,GEN ED,M158,P.S. 158 Bayard Taylor,,-,31,30
32.0,M,-,-,2,ATS,04,1,32,CTT,M158,P.S. 158 Bayard Taylor,,-,32,32
33.5,M,-,-,2,ATS,05,2,67,GEN ED,M158,P.S. 158 Bayard Taylor,,-,35,32
34.0,M,-,-,2,ATS,05,1,34,CTT,M158,P.S. 158 Bayard Taylor,,-,34,34
9.0,M,-,-,2,ATS,0K-09,2,18,SPEC ED,M158,P.S. 158 Bayard Taylor,,12:1,11,7
8.0,M,-,-,2,ATS,0K-09,1,8,SPEC ED,M158,P.S. 158 Bayard Taylor,,12:1:1,8,8
,M,,,2,,,,,,M158,P.S. 158 Bayard Taylor,14.5,,,
28.7,M,-,-,2,ATS,06,12,344,GEN ED,M167,J.H.S. 167 Robert F. Wagner,,-,33,25
26.0,M,-,-,2,ATS,06,2,52,CTT,M167,J.H.S. 167 Robert F. Wagner,,-,29,23
30.2,M,-,-,2,ATS,07,11,332,GEN ED,M167,J.H.S. 167 Robert F. Wagner,,-,33,26
27.5,M,-,-,2,ATS,07,2,55,CTT,M167,J.H.S. 167 Robert F. Wagner,,-,28,27
31.5,M,-,-,2,ATS,08,11,347,GEN ED,M167,J.H.S. 167 Robert F. Wagner,,-,33,29
27.0,M,-,-,2,ATS,08,2,54,CTT,M167,J.H.S. 167 Robert F. Wagner,,-,27,27
9.4,M,-,-,2,ATS,0K-09,5,47,SPEC ED,M167,J.H.S. 167 Robert F. Wagner,,12:1:1,12,5
29.8,M,MS English Core,ENGLISH,2,STARS,MS Core,34,1013,GEN ED,M167,J.H.S. 167 Robert F. Wagner,,-,33,24
29.8,M,MS Math Core,MATH,2,STARS,MS Core,34,1013,GEN ED,M167,J.H.S. 167 Robert F. Wagner,,-,34,24
29.8,M,MS Science Core,SCIENCE,2,STARS,MS Core,34,1013,GEN ED,M167,J.H.S. 167 Robert F. Wagner,,-,33,24
29.8,M,MS Social Studies Core,SOCIAL STUDIES,2,STARS,MS Core,34,1013,GEN ED,M167,J.H.S. 167 Robert F. Wagner,,-,33,24
25.7,M,MS English Core,ENGLISH,2,STARS,MS Core,6,154,CTT,M167,J.H.S. 167 Robert F. Wagner,,-,28,22
25.7,M,MS Math Core,MATH,2,STARS,MS Core,6,154,CTT,M167,J.H.S. 167 Robert F. Wagner,,-,28,22
25.7,M,MS Science Core,SCIENCE,2,STARS,MS Core,6,154,CTT,M167,J.H.S. 167 Robert F. Wagner,,-,28,22
25.7,M,MS Social Studies Core,SOCIAL STUDIES,2,STARS,MS Core,6,154,CTT,M167,J.H.S. 167 Robert F. Wagner,,-,28,22
11.3,M,MS English Core,ENGLISH,2,STARS,MS Core,3,34,SPEC ED,M167,J.H.S. 167 Robert F. Wagner,,-,12,10
12.0,M,MS Math Core,MATH,2,STARS,MS Core,1,12,SPEC ED,M167,J.H.S. 167 Robert F. Wagner,,-,12,12
10.0,M,MS Science Core,SCIENCE,2,STARS,MS Core,1,10,SPEC ED,M167,J.H.S. 167 Robert F. Wagner,,-,10,10
11.0,M,MS Social Studies Core,SOCIAL STUDIES,2,STARS,MS Core,2,22,SPEC ED,M167,J.H.S. 167 Robert F. Wagner,,-,12,10
,M,,,2,,,,,,M167,J.H.S. 167 Robert F. Wagner,16.6,,,
24.5,M,-,-,2,ATS,0K,4,98,GEN ED,M183,P.S. 183 Robert L. Stevenson,,-,25,24
25.0,M,-,-,2,ATS,0K,1,25,CTT,M183,P.S. 183 Robert L. Stevenson,,-,25,25
25.3,M,-,-,2,ATS,01,4,101,GEN ED,M183,P.S. 183 Robert L. Stevenson,,-,27,24
24.0,M,-,-,2,ATS,01,1,24,CTT,M183,P.S. 183 Robert L. Stevenson,,-,24,24
25.0,M,-,-,2,ATS,02,3,75,GEN ED,M183,P.S. 183 Robert L. Stevenson,,-,27,23
25.0,M,-,-,2,ATS,02,1,25,CTT,M183,P.S. 183 Robert L. Stevenson,,-,25,25
25.0,M,-,-,2,ATS,03,3,75,GEN ED,M183,P.S. 183 Robert L. Stevenson,,-,25,25
24.0,M,-,-,2,ATS,03,1,24,CTT,M183,P.S. 183 Robert L. Stevenson,,-,24,24
28.5,M,-,-,2,ATS,04,2,57,GEN ED,M183,P.S. 183 Robert L. Stevenson,,-,29,28
26.0,M,-,-,2,ATS,04,1,26,CTT,M183,P.S. 183 Robert L. Stevenson,,-,26,26
26.3,M,-,-,2,ATS,05,3,79,GEN ED,M183,P.S. 183 Robert L. Stevenson,,-,27,25
27.0,M,-,-,2,ATS,05,1,27,CTT,M183,P.S. 183 Robert L. Stevenson,,-,27,27
,M,,,2,,,,,,M183,P.S. 183 Robert L. Stevenson,13.4,,,
20.0,M,-,-,2,ATS,0K,2,40,GEN ED,M198,P.S. 198 Isador E. Ida Straus,,-,20,20
20.0,M,-,-,2,ATS,0K,1,20,CTT,M198,P.S. 198 Isador E. Ida Straus,,-,20,20
14.3,M,-,-,2,ATS,0K,3,43,G&T,M198,P.S. 198 Isador E. Ida Straus,,-,18,12
23.0,M,-,-,2,ATS,01,2,46,GEN ED,M198,P.S. 198 Isador E. Ida Straus,,-,24,22
20.0,M,-,-,2,ATS,01,1,20,CTT,M198,P.S. 198 Isador E. Ida Straus,,-,20,20
,M,,,5,,,,,,M161,P.S. 161 Pedro Albizu Campos,11.4,,,
22.0,M,-,-,2,ATS,02,3,66,GEN ED,M198,P.S. 198 Isador E. Ida Straus,,-,22,22
23.0,M,-,-,2,ATS,02,1,23,CTT,M198,P.S. 198 Isador E. Ida Straus,,-,23,23
28.0,M,-,-,2,ATS,03,2,56,GEN ED,M198,P.S. 198 Isador E. Ida Straus,,-,29,27
29.0,M,-,-,2,ATS,03,1,29,CTT,M198,P.S. 198 Isador E. Ida Straus,,-,29,29
27.0,M,-,-,2,ATS,04,2,54,GEN ED,M198,P.S. 198 Isador E. Ida Straus,,-,29,25
27.0,M,-,-,2,ATS,04,1,27,CTT,M198,P.S. 198 Isador E. Ida Straus,,-,27,27
26.0,M,-,-,2,ATS,05,2,52,GEN ED,M198,P.S. 198 Isador E. Ida Straus,,-,28,24
19.0,M,-,-,2,ATS,05,1,19,CTT,M198,P.S. 198 Isador E. Ida Straus,,-,19,19
7.5,M,-,-,2,ATS,0K-09,2,15,SPEC ED,M198,P.S. 198 Isador E. Ida Straus,,12:1:1,9,6
,M,,,2,,,,,,M198,P.S. 198 Isador E. Ida Straus,11.8,,,
27.5,M,-,-,2,ATS,0K,2,55,GEN ED,M212,P.S. 212 Midtown West,,-,28,27
27.5,M,-,-,2,ATS,01,2,55,GEN ED,M212,P.S. 212 Midtown West,,-,28,27
28.0,M,-,-,2,ATS,02,2,56,GEN ED,M212,P.S. 212 Midtown West,,-,28,28
27.5,M,-,-,2,ATS,03,2,55,GEN ED,M212,P.S. 212 Midtown West,,-,28,27
28.0,M,-,-,2,ATS,04,2,56,GEN ED,M212,P.S. 212 Midtown West,,-,28,28
27.0,M,-,-,2,ATS,05,2,54,GEN ED,M212,P.S. 212 Midtown West,,-,27,27
10.0,M,-,-,2,ATS,0K-09,1,10,SPEC ED,M212,P.S. 212 Midtown West,,12:1,10,10
4.0,M,-,-,2,ATS,0K-09,1,4,SPEC ED,M212,P.S. 212 Midtown West,,12:1:1,4,4
,M,,,2,,,,,,M212,P.S. 212 Midtown West,16.5,,,
21.5,M,-,-,2,ATS,0K,2,43,GEN ED,M217,P.S./I.S. 217 Roosevelt Island,,-,22,21
16.0,M,-,-,2,ATS,0K,1,16,G&T,M217,P.S./I.S. 217 Roosevelt Island,,-,16,16
17.5,M,-,-,2,ATS,01,2,35,GEN ED,M217,P.S./I.S. 217 Roosevelt Island,,-,18,17
20.0,M,-,-,2,ATS,01,1,20,G&T,M217,P.S./I.S. 217 Roosevelt Island,,-,20,20
