acronym,co2e_mt_calculated,finishdateactual,primaryprojecttype,projectsiteaddress,projectsitename,projectstatus,startdateactual,subtype
DOE,8.93,,Lighting System Upgrade,1075 Ocean View Avenue,The Eileen E. Zaglin,Design,,Retrofit
DOE,8.93,14-Feb-12,Energy Audit,1075 Oceanview,K225 The Eileen E. Zaglin,Completed,13-Apr-11,None
DOE,,,Other,1075 Ocean View Avenue,The Eileen E. Zaglin,Survey,,Retro-commissioning
DOE,,,Lighting System Upgrade,80 Maple Parkway,P.S. 044 Thomas C. Brown,Design,,Retrofit
DOE,68.44,08-May-12,Energy Audit,80 Maple Parkway,PS 044R Thomas C. Brown,Completed,27-Apr-11,None
DOE,,,Other,80 Maple Parkway,P.S. 044 Thomas C. Brown,Survey,,Retro-commissioning
DOE,96.31,,Lighting System Upgrade,145 Stanton Street,Marta Valle Secondary School,Design,,Retrofit
DOE,,,Other,145 Stanton Street,Marta Valle Secondary School,Survey,,Retro-commissioning
DOE,146.57,,Lighting System Upgrade,32 West 92 Street,P.S. 084 Lillian Weber,Design,,Retrofit
DOE,66.56,08-May-12,Energy Audit,32 West 92nd St,PS 084M Lillian Weber,Completed,14-Apr-11,None
DOE,,,Other,32 West 92 Street,P.S. 084 Lillian Weber,Survey,,Retro-commissioning
DOE,76.78,17-Apr-12,Energy Audit,965 Longwood Avenue,P.S.39X,Completed,16-Feb-11,None
,,,Other,965 Longwood Avenue,P.S.39X,Survey,,Retro-commissioning
DOE,495.79,,Comprehensive,37-02 47th Avenue,Queens Vocational and Technical High School,Design,,Retrofit
DOE,141.00,19-Apr-12,Energy Audit,37-02 47th Avenue,Queens Vocational and Technical High School,Completed,15-Feb-11,None
,,,Other,37-02 47th Avenue,Queens Vocational and Technical High School,Survey,,Retro-commissioning
DOE,29.57,04-Apr-12,Energy Audit,225 West 24th St,Fashion Industries High School,Completed,20-Apr-11,None
DOE,,,Other,225 West 24th St,M600 - Fashion Industries HS,Survey,,Retro-commissioning
DOE,,30-Jun-11,Other,475 West 155th Street,M028 - P.S. 028 Wright Brothers,Design,01-Apr-11,Retrofit
DOE,0.00,,Energy Audit,1600 Park Place,K191 Paul Robeson,In Progress,14-Aug-12,None
,,,Other,1600 Park Place,K191 Paul Robeson,Survey,,Retro-commissioning
DOE,,,Energy Audit,1037 East 54th Street,K 251 Paerdegat,In Progress,14-Aug-12,None
DOE,,,Other,1037 East 54th Street,K 251 Paerdegat,Survey,,Retro-commissioning
DOE,0.00,,Energy Audit,1070 East 83rd Street,K276 Louis Marshall,In Progress,18-Jul-12,None
DOE,,,Other,1070 East 83rd Street,K276 Louis Marshall,Survey,,Retro-commissioning
DOE,0.00,,Energy Audit,1076 East 104th Street,K279 - Herman Schreiber,In Progress,18-Jul-12,Retrofit
DOE,,,Other,1076 East 104th Street,K279 - Herman Schreiber,Survey,,Retro-commissioning
DOE,0.00,,Energy Audit,50 Navy Street,K287- Bailey K. Ashford,In Progress,21-Aug-12,None
DOE,0.00,10-Sep-12,Other,50 Navy Street,K287- Bailey K. Ashford,Survey,10-Aug-12,Retro-commissioning
DOE,0.00,,Energy Audit,180 Seventh Avenue,K321- William Penn,In Progress,21-Aug-12,None
DOE,,,Other,180 Seventh Avenue Brooklyn NY,Wm Penn ES,Survey,,Retro-commissioning
DOE,0.00,,Energy Audit,2929 West 30th Street,K329- Surfside,Survey,08-Aug-12,None
DOE,0.00,,Other,2929 West 30th Street,K329- Surfside,Survey,,Retro-commissioning
DOE,,,Energy Audit,257 North 6th Street,K650 - Harry Vanarsdale Vocational HS,In Progress,08-Aug-12,None
DOE,,,Other,257 North 6th Street,K650 - Harry Vanarsdale Vocational HS,Survey,,Retro-commissioning
DOE,,,Energy Audit,179 1st Avenue,M019- PS 019- Asher Levy,In Progress,,None
,,,Other,179 1st Avenue,M019- PS 019- Asher Levy,Survey,,Retro-commissioning
DOE,,,Energy Audit,475 West 155th Street,M028- PS 28- Wright Brothers,In Progress,,None
DOE,,,Energy Audit,103 W 107th Street,M054- JHS 054- Booker T. Washington,In Progress,,None
DOE,,,Energy Audit,54-25 Skillman Avenue,Q011- PS 011- Kathryn Phelan,In Progress,,None
DOE,,,Energy Audit,85-15 258th Street,Q191 Mayflower,In Progress,,None
DOE,,,Energy Audit,75-25 Bell Blvd,Q205 - PS 205 Alexander Graham Bell,In Progress,,None
DOE,,,Energy Audit,190 Beach 110th Street,Q225 - PS 225 - Seaside School,In Progress,,None
DOE,0.00,,Energy Audit,55 Layton Avenue,R031 - PS 031 William T. Davis,In Progress,,None
DOE,0.00,,Energy Audit,55 Layton Avenue,R052 - PS 052 - John C. Thompson,In Progress,,None
DOE,0.00,,Energy Audit,2750 Lafayette Avenue,X101- MS X101- Edward R. Byrne,Completed,15-Aug-12,None
DOE,0.00,,Energy Audit,2750 Throop Avenue Bronx NY,X121- PS 121- Throop,In Progress,02-Aug-12,None
DOE,0.00,,Energy Audit,2441 Wallace Avenue Bronx NY,X135- IS 135,In Progress,02-Aug-12,None
DOE,0.00,,Energy Audit,240 2nd Avenue,M661,In Progress,09-Aug-12,Retrofit
DOHMH,,,Other,447 First Avenue,Public Health Lab,Survey,09-Aug-11,Retro-commissioning
DOHMH,51.79,21-Jun-12,Lighting System Upgrade,158 East 115th Street,East Harlem Health Care Center,Substantially Completed,26-Mar-12,Retrofit
DOHMH,,,Other,158 East 115th Street,East Harlem Health Care Center,Proposed,,Retro-commissioning
DOHMH,,,Other,158 East 115th Street,East Harlem Health Care Center,Survey,09-Aug-11,Retro-commissioning
DOHMH,45.96,,HVAC System Upgrade,1826 Arthur Avenue,Tremont Health Center - 1826 Arthur Avenue,Completed,,Retrofit
DOHMH,28.02,,HVAC System Upgrade,2238 Fifth Avenue,Central Harlem Health Center - 2238 5th Avenue,Cancelled,,Retrofit
DSNY,234.06,02-Jun-09,Lighting System Upgrade,"105-02 AVENUE   BROOKLYN DIST 17/18 GAR, 105-09 Avenue D",Brooklyn District 17/18 Garage,Completed,05-Sep-08,Retrofit
DSNY,119.18,02-Jun-09,Lighting System Upgrade,"807 EAST 175TH STREET, 800 East 176th Street",Bronx East 6 Garage,Completed,17-Sep-08,Retrofit
DSNY,501.40,12-May-10,Lighting System Upgrade,75-05 WINCHESTER BLVD  DIST 11/13 GARAGE,"Q 11/13A, Q 7,Q 13",Completed,15-Jun-09,Retrofit
DSNY,151.64,13-May-10,Lighting System Upgrade,1635 East 233rd St. Bronx NY,Bronx 12 District Garage,Completed,24-Jul-09,Retrofit
DSNY,22.22,13-May-10,Lighting System Upgrade,680  East 132nd Street,3A,Completed,24-Jul-09,Retrofit
DSNY,23.85,13-May-10,Lighting System Upgrade,1331 Cromwell Ave,Bx 5 District Garage,Completed,24-Jul-09,Retrofit
DSNY,366.78,07-Jan-10,Lighting System Upgrade,640 West 26th Street,26th Street Repair Garage,Completed,25-Jun-09,Retrofit
DSNY,,,Other,640 West 26th Street,26th Street Repair Garage,Survey,,Retro-commissioning
DSNY,108.41,12-May-10,Lighting System Upgrade,5100 1st Ave,"Bklyn 8, Bklyn 7/10 District Garages",Substantially Completed,26-Jun-09,Retrofit
DSNY,44.39,12-May-10,Lighting System Upgrade,"1760 Atlantic Ave, 1755 Pacific Street","Bklyn 8, Bklyn 7/10 District Garages",Completed,26-Jun-09,Retrofit
DSNY,104.80,28-Sep-11,Lighting System Upgrade, 539 Jersey St.,Staten Island 1,Completed,31-May-11,Retrofit
DSNY,123.92,28-Sep-11,Lighting System Upgrade,2500 RICHMOND AVENUE     STATEN ISLAND, Staten Island 2 District Garages,Completed,31-May-11,Retrofit
DSNY,19.30,,Lighting System Upgrade,800-850 Zerega Avenue,Bx-11 - 800 Zerega Avenue,Install,,Retrofit
DSNY,30.86,,HVAC System Upgrade,52-07 58th Street,Queens North Borough Repair Shop - 52-07 58th Street,Install,02-Jul-12,Retrofit
DSNY,73.00,,Lighting System Upgrade,58-02 48th Street,Q5 - 48-01 58th Road,Install,16-May-12,Retrofit
DSNY,15.64,,Lighting System Upgrade,58-01 48th Street Queens NY 11378,48-01 58th Road Queens NY  11378,Install,,Retrofit
DSNY,150.44,,HVAC System Upgrade,58-73 53rd Avenue,Betts Avenue Boiler Room - 57-73 53rd Avenue,Substantially Completed,14-May-12,Retrofit
DSNY,148.09,26-Apr-11,HVAC System Upgrade,106-01 Avenue D,Cioffe Borough Shop - 106-01 Avenue D,Completed,15-Nov-10,Retrofit
DSNY,147.02,10-Jun-10,HVAC System Upgrade,640 West 26th St,Manhattan Borough Repair Shop,Completed,11-May-10,Retrofit
DSNY,714.85,30-Jun-12,HVAC System Upgrade,640 West 26th St.,Manhattan Borough Repair Shop,Substantially Completed,12-Mar-12,Retrofit
DSNY,103.74,11-Feb-11,Lighting System Upgrade,44 Beaver Street,44 Beaver Street,Completed,03-Dec-10,Retrofit
DSNY,22.52,22-Feb-12,Other,1397 Ralph Avenue,Brooklyn South 14 - Photovoltaic,Substantially Completed,31-Oct-11,Photovoltaic
DSNY,22.21,22-Feb-12,Other,153-67 146th Avenue,Queens 3 East - Photovoltaic,Substantially Completed,30-Nov-11,Photovoltaic
DSNY,90.62,31-Dec-11,Lighting System Upgrade,58-73 53rd Avenue,Betts Avenue Boiler Room,Install,01-Apr-11,Retrofit
DSNY,82.55,13-May-10,Lighting System Upgrade,423 West 215th St.,Bx 7/8,Completed,24-Jul-09,Retrofit
DOT,263.59,,HVAC System Upgrade,654 West 158th Street,Fleet Services Shop,Substantially Completed,04-Apr-12,Retrofit
,,,Other,654 West 158th Street,Fleet Services Shop,Proposed,,Retro-commissioning
,,,Other,654 West 158th Street,Fleet Services Shop,Survey,09-Aug-11,Retro-commissioning
DOT,136.37,31-Aug-11,Lighting System Upgrade,1 Bay Street,Ferry Maintenance Facility,Completed,10-Jan-11,Retrofit
DOT,312.65,,Comprehensive,1 Bay Street,Ferry Maintenance Facility - 1 Bay Street,Install,30-Mar-12,Retrofit
DOT,24.23,05-Nov-11,Lighting System Upgrade,5 Dubois Avenue,5 Dubois Avenue,Completed,15-Jul-11,Retrofit
DOT,22.70,22-Feb-12,Other,88-20 Pitkin Ave and Linden Blvd,Sunrise Yard,Substantially Completed,24-Oct-11,Photovoltaic
DPR,,,HVAC System Upgrade,,Randall's Island 5 Borough Complex,Design,,Retrofit
DPR,379.19,05-Aug-11,Energy Audit,1 E 99th Street,Randall's Island 5 Borough Complex,Completed,06-Oct-10,None
DPR,,,Other,1 Randalls Island,5 Boro,Proposed,,Retro-commissioning
DPR,,,Other,1 Randalls Island,5 Boro,Survey,,Retro-commissioning
DPR,40.00,01-Apr-08,Lighting System Upgrade, 3 Clarkson Street,Tony Dapolito Recreational Center,Completed,04-Oct-07,Retrofit
DPR,60.75,01-Apr-08,Lighting System Upgrade,1251 PROSPECT PLACE,St. John's Recreation Center,Completed,04-Oct-07,Retrofit
,,,HVAC System Upgrade,,,Cancelled,,
DPR,267.33,,Comprehensive,450 St. Ann's Avenue,St. Mary's Rec Center,Install,06-Jan-12,Retrofit
DPR,12.83,,Comprehensive,450 St. Ann's Avenue,St. Mary's Rec Center,Install,,Solar Thermal
DPR,,,Other,450 St. Ann's Avenue,St. Mary's Rec Center,Proposed,,Retro-commissioning
DPR,0.00,,Other,450 St. Ann's Avenue,St. Mary's Rec Center,Completed,,Retro-commissioning
DPR,69.55,,Lighting System Upgrade,"76 Central Park, 830 5th Avenue",Central Park Zoo,Design,,Retrofit
DPR,247.36,,Comprehensive,"76 Central Park, 830 5th Avenue",Central Park Zoo,Design,,Retrofit
DPR,54.15,29-Sep-11,Lighting System Upgrade, 1 Bronx River Pkwy,Ranaqua Garage And Shops - 1 Bronx River Pkwy,Completed,10-Jan-11,Retrofit
DPR,27.43,19-Mar-12,Lighting System Upgrade,89 Bradhurst Avenue,Jackie Robinson Recreation Center,Substantially Completed,11-Oct-11,Retrofit
DCLA,,31-May-11,Lighting System Upgrade,Flushing Meadows Corona Park,Queens Museum,Cancelled,08-Apr-11,Retrofit
DPR,727.96,,Other,Flushing Meadows Park,Flushing Meadows Aquatic Center,Survey,,Cogen
NYCEDC,209.72,,HVAC System Upgrade,Conover & Pioneer Street,Brooklyn Cruise Terminal,Design,,Retrofit
FDNY,25.27,30-Jul-09,Lighting System Upgrade,1201 GRAND ST,Engine Company 206,Completed,27-Mar-09,Retrofit
FDNY,33.08,15-Sep-09,Lighting System Upgrade,"301 Gold Street, 172 Tillary Street",Engine Company 207,Completed,27-Mar-09,Retrofit
FDNY,11.52,24-Jun-09,Lighting System Upgrade,1781 Monroe Avenue,Engine Company 42 & Ladder 56,Completed,27-Mar-09,Retrofit
FDNY,27.45,10-Jul-09,Lighting System Upgrade,925 E TREMONT AVE,Engine Company 45 & Ladder 58,Completed,27-Mar-09,Retrofit
FDNY,30.63,05-Dec-11,Lighting System Upgrade,"720 Melrose Ave Bronx, NY",Energy Efficient lighting at FDNY-Engine Company 71,Completed,08-Sep-11,Retrofit
FDNY,253.34,21-Oct-10,Lighting System Upgrade,48-34 35th Street,Fleet Services R&T Building - 48-34 35th Street,Completed,06-May-10,Retrofit
FDNY,13.74,30-Sep-11,Lighting System Upgrade,32 Ralph Avenue,Engine Company 222,Completed,29-Aug-11,Retrofit
FDNY,3.41,,HVAC System Upgrade,16-15 Central Avenue,Engine Company 264,Design,,Solar Thermal
FDNY,3.72,,HVAC System Upgrade,48-06 Rockaway Beach,Engine Company 265,Design,,Solar Thermal
FDNY,1.70,,HVAC System Upgrade,92-20 Rockaway Beach,Engine Company 266,Design,,Solar Thermal
FDNY,3.34,,HVAC System Upgrade,259 116 Street,Engine Company 268,Design,,Solar Thermal
FDNY,1.70,,HVAC System Upgrade,402 Beach 169 Street,Engine Company 329,Design,,Solar Thermal
FDNY,15.94,31-Dec-11,Lighting System Upgrade,259 Beach 116 Street,Engine Company 268,Substantially Completed,01-Jul-11,Retrofit
FDNY,45.41,30-Sep-11,Lighting System Upgrade,26 Hooper Street, Engine Co. 211- Lighting Upgrade,Completed,01-Apr-11,Retrofit
FDNY,13.51,24-Feb-12,Other,48-34 35th Street,R&T Repair Shop,Substantially Completed,16-Dec-11,Photovoltaic
FDNY,18.02,23-Mar-12,Other,1100 Rossville Ave,Engine Company 168 / Emergency Maintenance Station 22,Substantially Completed,16-Dec-11,Photovoltaic
HHC,4022.55,,HVAC System Upgrade,2601 Ocean Pkwy Brooklyn NY,Coney Island Hospital Boilers,Install,,Retrofit
HHC,,,Energy Audit,,,Completed,,None
HHC,152.33,17-Oct-08,Lighting System Upgrade,1223 GERARD AVENUE MORRISANIA N F C CNTR,Morrisania Diagnostic & Treatment Ctr,Completed,13-May-08,Retrofit
HHC,9521.89,,Comprehensive,"1901 1st Avenue  New York, NY 10029",Metropolitan Hospital,Design,,Retrofit
HHC,,,Energy Audit,"1901 1st Avenue  New York, NY 10029",Metropolitan Hospital,Completed,,None
HHC,6459.37,,Comprehensive,"79-01 Broadway  Elmhurst, NY  11373",Elmhurst Hospital Center,Design,,Retrofit
HHC,,,Energy Audit,"79-01 Broadway  Elmhurst, NY  11373",Elmhurst Hospital Center,Completed,,None
HHC,1763.80,03-Feb-12,Energy Audit,"760 Broadway, Brooklyn",Woodhull Hospital,Completed,03-Aug-11,None
HRA,83.86,06-May-11,Lighting System Upgrade,33-28 to 34-08 Northern Blvd,Human Resources Administration - 33-28 Northern Blvd,Completed,15-Dec-10,Retrofit
NYPD,98.39,02-Dec-11,Lighting System Upgrade,53-15 5bth Street,NYPD Central Repair Shop,Completed,12-Sep-11,Retrofit
HRA,126.43,27-Apr-11,Lighting System Upgrade,109 East 16th Street,Human Resources Administration - 109 East 16th Street,Completed,03-Jan-11,Retrofit
HRA,67.82,10-Sep-10,Lighting System Upgrade,"731 Flushing Avenue, 30 Thornton Street",Human Resources Administration - 30 Thornton Street,Completed,12-Jul-10,Retrofit
HRA,92.81,31-Oct-11,Lighting System Upgrade,"260 11th Avenue, 246 11th Avenue",Human Resources Administration - 260 11th Avenue,Completed,12-Sep-11,Retrofit
HRA,23.19,,Lighting System Upgrade,1420 Burswick Ave,Bushwick Multi Service Center,Design,,Retrofit
HRA,23.19,03-Jun-11,Energy Audit,1420 Bushwick Ave,Bushwick Multi Service Center,Completed,04-Nov-10,None
HRA,,,Other,1420 Burswick Ave,Bushwick Multi Service Center,Proposed,,Retro-commissioning
HRA,,,Other,1420 Burswick Ave,Bushwick Multi Service Center,Survey,,Retro-commissioning
,47.45,,HVAC System Upgrade,,,Completed,,
NYPD,48.84,16-Oct-08,Lighting System Upgrade,524 WEST 42ND ST,Midtown North - Manhattan Zone,Completed,20-Mar-08,Retrofit
NYPD,42.07,13-Sep-08,Lighting System Upgrade,2 EAST 169TH ST,44th Precinct,Completed,05-Sep-07,Retrofit
NYPD,22.42,11-Sep-08,Lighting System Upgrade,257 ALEXANDER AVENUE,40th Precinct,Completed,05-Sep-07,Retrofit
NYPD,71.69,12-Sep-08,Lighting System Upgrade,1035 LONGWOOD AVENUE,41st Precinct,Completed,05-Sep-07,Retrofit
NYPD,50.65,14-Sep-08,Lighting System Upgrade,2121 EASTCHESTER ROAD,49th Precinct,Completed,05-Sep-07,Retrofit
NYPD,13.48,15-Sep-08,Lighting System Upgrade,1278 SEDGWICK AVENUE,Old 44th Precinct (Bronx Task Force),Completed,05-Sep-07,Retrofit
NYPD,40.08,20-Jul-09,Lighting System Upgrade,4295 BROADWAY,34th Precinct,Completed,12-Dec-08,Retrofit
NYPD,30.02,20-Jul-09,Lighting System Upgrade,134-40 W 30TH ST,Traffic Control Division,Completed,12-Dec-08,Retrofit
NYPD,15.90,20-Jul-09,Lighting System Upgrade,PIER 36 & SOUTH STREET,Pier 36 Precinct,Completed,12-Dec-08,Retrofit
NYPD,12.63,20-Jul-09,Lighting System Upgrade,116 Main Street,123rd Precinct,Completed,01-Dec-08,Retrofit
NYPD,26.75,28-Jan-10,Lighting System Upgrade,45-06 215TH STREET,111th Precinct,Completed,20-May-09,Retrofit
NYPD,41.65,28-Jan-10,Lighting System Upgrade,2575 CONEY ISLAND AVENUE,61st Precinct,Completed,20-May-09,Retrofit
NYPD,22.51,28-Jan-10,Lighting System Upgrade,1925 BATH AVENUE,62nd Precinct,Completed,20-May-09,Retrofit
NYPD,12.31,28-Jan-10,Lighting System Upgrade,1844 BROOKLYN AVENUE,63rd Precinct,Completed,20-May-09,Retrofit
NYPD,12.23,28-Jan-10,Lighting System Upgrade,5822 16TH AVENUE,66th Precinct,Completed,20-May-09,Retrofit
NYPD,14.23,28-Jan-10,Lighting System Upgrade,154 LAWRENCE AVENUE,70th Precinct,Completed,20-May-09,Retrofit
NYPD,64.13,24-Nov-10,Lighting System Upgrade,421 EMPIRE BOULEVARD,Group 5 - 71st/76th/90th/94th/77 Annex Pcts,Completed,12-Feb-10,Retrofit
NYPD,41.78,24-Nov-10,Lighting System Upgrade,191 UNION STREET,Group 5 - 71st/76th/90th/94th/77 Annex Pcts,Completed,30-Jun-10,Retrofit
NYPD,25.83,24-Nov-10,Lighting System Upgrade,653 GRAND AVENUE,Group 5 - 71st/76th/90th/94th/77 Annex Pcts,Completed,30-Jun-10,Retrofit
NYPD,91.94,24-Nov-10,Lighting System Upgrade,211 UNION AVE,Group 5 - 71st/76th/90th/94th/77 Annex Pcts,Completed,12-Feb-10,Retrofit
NYPD,57.60,24-Nov-10,Lighting System Upgrade,100 MESEROLE AVENUE,Group 5 - 71st/76th/90th/94th/77 Annex Pcts,Completed,30-Jun-10,Retrofit
NYPD,22.13,21-Oct-11,Lighting System Upgrade,"9224 Rockaway  Beach, or 92-24 Rockaway Beach Boulevard",100th Precinct,Substantially Completed,26-Jan-11,Retrofit
NYPD,20.56,14-Oct-11,Lighting System Upgrade,"1612 Mott Avenue, or 16-12 Mott Avenue",101st Precinct,Substantially Completed,26-Jan-11,Retrofit
NYPD,57.26,09-Dec-11,Lighting System Upgrade,34-16 ASTORIA BOULEVARD,114th Precinct,Substantially Completed,26-Jan-11,Retrofit
NYPD,112.24,27-Aug-12,Lighting System Upgrade,59-06 LAUREL HILL BLVD,BMS/QMS Building,Substantially Completed,29-Aug-11,Retrofit
NYPD,804.20,,HVAC System Upgrade,150-18 Jamaica Avenue Queens NY,NYPD Forensic Investigation Division,Install,17-Jan-12,Retrofit
NYPD,1.26,31-Dec-08,HVAC System Upgrade,"2207 Amsterdam Ave., NY, NY",NYPD - 33rd Precinct,Completed,10-Mar-08,Retrofit
NYPD,157.12,27-Sep-11,HVAC System Upgrade,,1086 Simpson Street Bronx NY 10459,Completed,13-Sep-10,Retrofit
NYPD,,,HVAC System Upgrade,,,Completed,,Retrofit
NYPD,287.26,12-Sep-11,HVAC System Upgrade,263 Tompkins Ave.,79th Pct.,Completed,10-Mar-08,Retrofit
NYPD,136.02,13-May-10,HVAC System Upgrade,11 Front Street Brooklyn NY,NYPD Shop # 1,Completed,,Retrofit
NYPD,125.53,11-Jun-10,Lighting System Upgrade,150-18 JAMAICA AVENUE,Police Forensic Lab - Lighting,Completed,04-Dec-09,Retrofit
NYPD,7.13,,Comprehensive,2320 Hylan Blvd,122nd Precinct,Cancelled,,Retrofit
NYPD,,,Other,2320 Hylan Blvd,122nd Precinct,Proposed,,Retro-commissioning
NYPD,,,Other,2320 Hylan Blvd,122nd Precinct,Survey,,Retro-commissioning
NYPD,2914.41,,HVAC System Upgrade,1 Police Plaza,Police Headquarters,Design,07-Nov-11,Retrofit
NYPD,,,Other,1 Police Plaza,Police Headquarters,Survey,,Retro-commissioning
NYPD,64.56,,HVAC System Upgrade,9720 Foster Avenue,69th Precinct - 9720 Foster Avenue,Design,,Retrofit
NYPD,15.77,24-Feb-12,Other,34-16 Astoria Blvd,114th Precinct - Photovoltaic,Substantially Completed,14-Dec-11,Photovoltaic
NYPD,22.52,24-Feb-12,Other,92-15 Northern Blvd,115th Precinct - Photovoltaic,Substantially Completed,14-Dec-11,Photovoltaic
NYPD,13.51,07-Mar-12,Other,450 Cross Bronx Expressway,48th Precinct - Photovoltaic,Substantially Completed,14-Dec-11,Photovoltaic
NYPD,59.40,,Lighting System Upgrade,1086 Simpson Street,Old 41st Precinct,Design,,Retrofit
NYPD,0.00,,Other,"College Point, Queens",New York Police Academy,Install,,Cogen
NYPL,2122.53,,HVAC System Upgrade,454 Fifth Avenue,Humanities & Social Sciences Library,Install,15-Mar-12,Retrofit
NYPL,,,Other,454 Fifth Avenue,Humanities & Social Sciences Library,Survey,,Retro-commissioning
NYPL,26.63,11-Apr-11,Lighting System Upgrade,40 West 20th Street,Andrew Heiskell Library,Completed,17-Dec-10,Retrofit
NYPL,23.59,31-Dec-11,Lighting System Upgrade,3060 Middletown Road,Pelham Bay Branch Library,Completed,01-Apr-11,Retrofit
NYPL,15.48,15-Mar-12,Lighting System Upgrade,4100 Lowerre Place,Wakefield Branch,Substantially Completed,24-Oct-11,Retrofit
QPL,8.27,29-Mar-12,Lighting System Upgrade,8541 Forest Pkwy,Woodhaven Branch Library,Substantially Completed,12-Mar-12,Retrofit
,111.18,,HVAC System Upgrade,"614 Broadway Staten Island, NY",Staten Island Zoo,Design,,Retrofit
TLC,61.06,29-Jun-12,Comprehensive,24-55 Brooklyn-Queens Expwy,Woodside Inspection Facility,Substantially Completed,30-Jan-12,Retrofit
TLC,,,Other,24-55 Brooklyn-Queens Expwy,Woodside Inspection Facility,Survey,09-Aug-11,Retro-commissioning
