domain_name,domain_registration_date,nexus_category
edny.nyc,2014-10-08T15:00:17.000,ORG
benbria.nyc,2014-10-09T14:02:52.000,ORG
ori.nyc,2014-10-08T16:21:36.000,INDIV
slaymedia.nyc,2017-04-18T16:46:50.000,INDIV
gothamconsulting.nyc,2014-12-22T20:36:11.000,INDIV
samsara.nyc,2015-07-31T17:13:06.000,INDIV
combatclub.nyc,2018-02-24T01:13:58.000,INDIV
buddha.nyc,2014-10-03T15:51:39.000,INDIV
cruxcpa.nyc,2018-02-24T20:00:49.000,INDIV
laughteryoga.nyc,2016-06-13T14:41:57.000,ORG
dragos.nyc,2017-01-04T02:27:12.000,INDIV
ny-4-vein.nyc,2015-12-16T05:51:56.000,ORG
twm.nyc,2016-10-07T22:41:05.000,ORG
upperwestexpress.nyc,2015-04-15T20:45:07.000,ORG
adelphi.nyc,2014-10-03T15:38:51.000,ORG
kenney.nyc,2018-02-24T02:29:31.000,INDIV
whiz.nyc,2016-06-16T23:22:22.000,INDIV
noircar.nyc,2015-05-30T22:14:34.000,ORG
combatsportsclub.nyc,2018-02-24T01:14:02.000,INDIV
usambulette.nyc,2015-11-25T17:13:38.000,ORG
bwd.nyc,2016-03-29T17:58:47.000,INDIV
tommyjohn.nyc,2014-10-03T15:55:34.000,ORG
liveshow.nyc,2014-11-11T01:28:09.000,INDIV
prelicensingcourse.nyc,2015-05-08T11:51:52.000,ORG
key.nyc,2018-02-24T02:42:03.000,INDIV
maids.nyc,2016-10-09T18:49:00.000,INDIV
newyorkacupuncture.nyc,2014-10-03T15:52:30.000,INDIV
hiphop.nyc,2016-10-03T17:09:27.000,ORG
arteaga.nyc,2017-02-13T04:38:35.000,ORG
mama.nyc,2016-02-29T18:24:19.000,ORG
spg.nyc,2014-10-15T08:00:02.000,ORG
marissa.nyc,2014-10-08T19:45:16.000,INDIV
cedricjones.nyc,2015-04-22T21:59:20.000,ORG
crimmins.nyc,2015-05-29T12:51:57.000,INDIV
danimc.nyc,2014-10-08T15:00:40.000,INDIV
thebronxtoday.nyc,2014-10-03T15:32:50.000,ORG
erental.nyc,2014-11-24T19:41:59.000,INDIV
timbuktea.nyc,2014-11-07T15:36:24.000,INDIV
bestphotographer.nyc,2014-10-03T15:35:10.000,ORG
webvision.nyc,2015-01-02T20:53:33.000,INDIV
camerarepair.nyc,2015-05-19T23:42:39.000,ORG
greeninbrooklyn.nyc,2014-10-31T21:14:58.000,INDIV
youmna.nyc,2015-02-06T00:01:52.000,ORG
specialoccasions.nyc,2015-04-13T18:44:26.000,ORG
geezer.nyc,2014-10-08T15:00:43.000,INDIV
smallhotels.nyc,2014-10-08T15:01:29.000,INDIV
myfemaleplasticsurgeon.nyc,2016-01-19T20:32:08.000,INDIV
bellucci.nyc,2014-10-19T04:54:09.000,INDIV
constructionliens.nyc,2014-10-09T15:30:29.000,ORG
lfaa.nyc,2016-03-16T22:27:22.000,INDIV
106.nyc,2015-12-10T16:33:54.000,INDIV
charcoal.nyc,2016-01-20T15:31:29.000,INDIV
oliviacipolla.nyc,2015-01-07T14:15:04.000,ORG
conservancy.nyc,2018-02-24T15:46:51.000,ORG
demsker.nyc,2014-10-08T15:00:25.000,ORG
mybeautiful.nyc,2017-02-22T18:01:27.000,ORG
suki.nyc,2017-06-07T20:00:13.000,INDIV
truockcabeht.nyc,2017-04-15T02:44:41.000,ORG
eddie.nyc,2015-12-26T18:36:17.000,ORG
csnetwork.nyc,2015-01-28T18:52:16.000,ORG
legit.nyc,2016-09-13T21:31:16.000,ORG
sparren.nyc,2014-12-03T21:57:09.000,ORG
hankypanky.nyc,2014-06-20T15:12:20.000,ORG
doha.nyc,2014-11-12T23:49:12.000,INDIV
althub.nyc,2017-05-15T17:28:39.000,ORG
schweble.nyc,2014-10-03T15:48:03.000,INDIV
bfishman.nyc,2015-03-22T17:42:44.000,INDIV
sanocar.nyc,2016-12-07T01:57:07.000,ORG
breinholt.nyc,2014-10-08T15:00:29.000,INDIV
lipaugmentation.nyc,2014-11-04T20:27:19.000,ORG
jadesky.nyc,2015-05-19T01:51:05.000,INDIV
hwang.nyc,2014-10-08T17:20:34.000,INDIV
borisbidjansaberi.nyc,2014-10-03T15:41:10.000,ORG
theteencompanynyc.nyc,2018-02-24T03:33:52.000,INDIV
coneyislandart.nyc,2015-04-27T17:16:21.000,ORG
djsubay.nyc,2015-04-16T07:52:06.000,INDIV
styledbyva.nyc,2015-09-22T22:14:04.000,INDIV
fiveborosbrewing.nyc,2015-08-30T21:48:22.000,ORG
autoinsurancequotes.nyc,2014-10-08T15:50:35.000,INDIV
sabrinahall.nyc,2014-10-03T15:42:37.000,INDIV
mcglynnhayselevators.nyc,2014-11-04T20:06:51.000,ORG
alphaomega.nyc,2014-10-10T01:16:02.000,ORG
sjk.nyc,2015-12-07T23:00:24.000,ORG
cashforjunkcars.nyc,2016-05-19T16:54:42.000,ORG
dnaatelier.nyc,2017-04-27T20:26:05.000,INDIV
lovebug.nyc,2018-02-24T00:46:06.000,ORG
tudelu.nyc,2014-10-03T15:53:26.000,ORG
gentlemensclubs.nyc,2014-10-08T19:11:30.000,ORG
keitteam.nyc,2015-02-19T14:01:26.000,ORG
astoriarentals.nyc,2016-09-09T02:11:12.000,ORG
elizabethstreetgarden.nyc,2014-10-08T15:01:22.000,ORG
manhattanfruitier.nyc,2014-10-03T15:48:03.000,ORG
underneathitall.nyc,2014-10-03T15:38:34.000,ORG
paulmasseyformayor.nyc,2016-09-06T02:07:08.000,ORG
rentalsandhomes.nyc,2014-10-18T10:16:13.000,ORG
fleurdelis.nyc,2015-02-08T22:34:41.000,ORG
theepochtimes.nyc,2014-10-09T23:37:04.000,ORG
creditsuisse.nyc,2016-03-11T20:28:24.000,INDIV
microbiome.nyc,2016-02-11T17:24:25.000,INDIV
bni.nyc,2014-10-17T02:54:41.000,INDIV
88leonard.nyc,2016-09-30T13:54:09.000,INDIV
malaproject.nyc,2014-12-08T00:13:53.000,INDIV
amazonrestaurant.nyc,2017-03-14T22:33:46.000,ORG
comicconvention.nyc,2014-10-08T15:01:36.000,INDIV
franklin.nyc,2015-10-08T20:25:40.000,ORG
localmovers.nyc,2014-10-03T15:35:33.000,INDIV
heliny.nyc,2014-10-03T15:43:46.000,ORG
thebernic.nyc,2015-03-26T21:39:18.000,ORG
another.nyc,2014-11-10T17:27:41.000,INDIV
rogermulligan.nyc,2016-08-21T17:24:29.000,ORG
orthodontist.nyc,2014-11-12T00:17:16.000,ORG
selleuro.nyc,2016-09-05T02:22:51.000,INDIV
mlot.nyc,2017-05-22T16:41:25.000,INDIV
dannyquick.nyc,2015-10-14T13:35:39.000,INDIV
bigbentransportation.nyc,2015-07-13T03:28:00.000,ORG
hedgefundoffice.nyc,2014-10-03T15:34:35.000,ORG
essilor-luxottica.nyc,2017-07-20T14:21:17.000,ORG
letica.nyc,2014-10-03T15:52:46.000,INDIV
jcrcny.nyc,2014-10-08T15:01:40.000,ORG
w-financial.nyc,2014-10-08T15:01:18.000,ORG
smartsolutions.nyc,2015-09-13T14:21:28.000,INDIV
exchange86.nyc,2018-02-24T17:50:39.000,ORG
localpestcontrol.nyc,2016-06-14T22:00:08.000,ORG
rebnyactioncenter.nyc,2014-10-03T15:49:05.000,ORG
vanquet.nyc,2015-05-06T21:17:53.000,ORG
doo.nyc,2014-10-08T16:44:50.000,INDIV
wewerein.nyc,2018-02-24T02:29:31.000,INDIV
sunnysideworks.nyc,2015-03-12T23:53:40.000,INDIV
glenda.nyc,2014-10-08T16:16:36.000,INDIV
950.nyc,2014-11-05T21:51:00.000,ORG
cityskylinerealty.nyc,2014-10-08T15:01:20.000,ORG
theweddingbells.nyc,2016-09-19T21:15:13.000,ORG
fiat.nyc,2014-10-08T15:00:05.000,ORG
cappac.nyc,2016-05-23T04:55:05.000,INDIV
mendota.nyc,2014-10-08T15:01:28.000,ORG
mylincolnsquare.nyc,2015-07-16T20:43:10.000,ORG
infinite.nyc,2018-02-24T01:17:32.000,INDIV
spmonahan.nyc,2017-04-17T15:13:33.000,INDIV
fedcap.nyc,2014-10-08T15:00:39.000,ORG
jjbiasucci.nyc,2016-12-21T14:50:56.000,INDIV
445fifth.nyc,2014-10-08T21:24:29.000,ORG
natala.nyc,2014-10-08T15:00:40.000,INDIV
lucy.nyc,2014-10-03T15:44:26.000,ORG
bugsweeps.nyc,2015-02-01T01:06:08.000,ORG
vrstudenthousing.nyc,2017-06-25T18:07:44.000,INDIV
rachelbean.nyc,2014-10-14T00:54:12.000,INDIV
matthewbrown.nyc,2014-10-14T17:13:15.000,INDIV
andrewslane.nyc,2015-10-18T23:18:54.000,INDIV
bayridgefuel.nyc,2014-10-20T21:01:12.000,ORG
atheniannights.nyc,2016-09-15T18:43:31.000,ORG
superstone.nyc,2014-10-09T20:04:56.000,INDIV
boatcamp.nyc,2017-08-22T23:08:52.000,INDIV
teenhealth.nyc,2014-12-10T14:56:22.000,ORG
grace-till.nyc,2014-10-17T00:14:33.000,INDIV
sugarfoot.nyc,2016-06-16T20:56:58.000,INDIV
msasecurity.nyc,2014-10-03T15:32:56.000,ORG
schmoozing.nyc,2014-10-26T14:21:10.000,ORG
afaprotectivesystems.nyc,2014-10-08T16:57:56.000,ORG
ufopants.nyc,2014-10-03T15:32:07.000,ORG
bestdefenseattorney.nyc,2016-03-12T18:30:22.000,INDIV
finefood.nyc,2014-10-08T15:53:33.000,ORG
softsend.nyc,2018-02-24T20:28:08.000,ORG
marcoceglie.nyc,2014-11-12T20:58:10.000,INDIV
findjustice.nyc,2014-11-11T01:27:52.000,INDIV
basil.nyc,2014-11-24T19:19:08.000,ORG
velocitystudio.nyc,2017-04-23T03:25:41.000,ORG
docvee.nyc,2016-04-27T00:00:37.000,ORG
jai.nyc,2014-10-03T16:40:13.000,ORG
interactiondesign.nyc,2014-10-03T15:49:00.000,ORG
thestumbleinn.nyc,2014-10-08T15:00:19.000,ORG
sublets.nyc,2014-11-10T12:32:53.000,ORG
peterthomasroth.nyc,2015-10-30T17:42:42.000,ORG
seren.nyc,2014-10-03T15:41:33.000,INDIV
jakewallace.nyc,2014-11-21T03:24:43.000,ORG
craivd.nyc,2015-01-25T23:14:00.000,ORG
itsnotyourfault.nyc,2014-10-08T15:01:09.000,INDIV
venturefellows.nyc,2015-10-23T22:31:52.000,ORG
takebacknyc.nyc,2015-05-01T19:30:38.000,ORG
securitysystems.nyc,2015-12-26T17:34:19.000,ORG
evill.nyc,2014-11-20T15:29:07.000,INDIV
cns.nyc,2014-10-03T15:52:07.000,ORG
safeconstruction.nyc,2016-05-24T23:29:44.000,ORG
liquidclouds.nyc,2015-05-20T06:05:40.000,ORG
mused.nyc,2016-10-06T18:14:09.000,INDIV
334canalstreet.nyc,2014-10-03T15:51:38.000,ORG
accorhotels.nyc,2014-10-10T13:44:32.000,ORG
culturecloud.nyc,2017-01-31T17:56:45.000,INDIV
footcare.nyc,2014-10-29T14:32:36.000,INDIV
kagamine.nyc,2017-03-06T04:36:51.000,ORG
eatweek.nyc,2017-08-27T20:16:34.000,INDIV
gtn.nyc,2014-10-03T15:31:46.000,ORG
theocdstore.nyc,2017-06-22T19:10:58.000,ORG
dmjkurtz.nyc,2014-10-08T15:01:16.000,INDIV
uag.nyc,2015-04-08T19:34:44.000,INDIV
michaelfrost.nyc,2016-10-18T02:57:20.000,INDIV
stallion.nyc,2014-10-03T15:32:32.000,ORG
theteencompany.nyc,2018-02-24T03:33:50.000,INDIV
caitlin.nyc,2017-05-27T01:40:02.000,ORG
building.nyc,2016-10-03T17:09:19.000,ORG
bookclub.nyc,2017-02-28T15:10:37.000,INDIV
shareoffices.nyc,2014-10-08T16:49:23.000,ORG
soar.nyc,2014-10-08T15:00:16.000,INDIV
jbrown.nyc,2014-11-16T05:19:52.000,INDIV
virtualproperty.nyc,2014-11-11T15:37:07.000,ORG
circajewelry.nyc,2015-01-31T20:03:32.000,INDIV
nylo.nyc,2014-10-27T21:04:26.000,ORG
bitcoinexchange.nyc,2014-10-09T03:05:27.000,INDIV
yellowhouse.nyc,2016-02-20T20:23:09.000,INDIV
nationofny.nyc,2016-11-11T19:24:03.000,ORG
taxfreetransit.nyc,2014-10-29T13:42:02.000,ORG
upperwestguide.nyc,2016-11-06T22:55:30.000,INDIV
acestaffing.nyc,2016-06-05T20:57:33.000,ORG
savagesunited.nyc,2016-05-12T19:17:40.000,ORG
mikebloomberg-unenvoy.nyc,2014-10-22T16:49:41.000,ORG
windowcleaning.nyc,2014-10-03T15:53:25.000,ORG
blackceoent.nyc,2018-02-24T23:08:24.000,INDIV
peppermint.nyc,2017-01-11T05:46:06.000,INDIV
461deanstreetbklyn.nyc,2015-05-27T17:17:51.000,ORG
165thstreetmallbid.nyc,2014-07-22T19:59:05.000,ORG
smartypants.nyc,2016-02-08T20:54:26.000,ORG
fixitpros.nyc,2018-02-24T13:54:40.000,INDIV
pooch.nyc,2014-10-08T21:37:17.000,INDIV
we.nyc,2016-06-16T15:57:53.000,ORG
truly.nyc,2014-11-14T17:45:48.000,INDIV
harel.nyc,2014-10-09T16:57:16.000,INDIV
carsforfilm.nyc,2017-03-24T16:53:23.000,INDIV
pmk.nyc,2014-10-08T17:13:33.000,INDIV
haystack.nyc,2014-10-03T15:48:14.000,INDIV
francesca.nyc,2014-10-03T15:53:48.000,INDIV
ballzy.nyc,2015-06-20T15:43:15.000,INDIV
mindfultimo.nyc,2014-11-16T14:50:31.000,ORG
mazelvebracha.nyc,2016-07-29T17:22:34.000,ORG
backflowtesting.nyc,2015-10-23T19:43:01.000,INDIV
totallyfake.nyc,2014-12-13T03:24:30.000,INDIV
reikimaster.nyc,2015-07-22T19:54:20.000,ORG
do212.nyc,2015-02-12T22:56:05.000,INDIV
fundraise.nyc,2016-01-26T05:47:24.000,ORG
hollandpark.nyc,2015-10-16T15:22:14.000,INDIV
rubg.nyc,2015-04-30T21:52:10.000,ORG
cyc.nyc,2014-10-12T20:17:42.000,INDIV
4goodradio.nyc,2015-04-09T23:36:20.000,ORG
copyrightcowboy.nyc,2015-07-06T22:55:27.000,ORG
lovebugcafe.nyc,2018-02-24T00:46:06.000,ORG
agefriendlyd36bk.nyc,2017-03-09T02:58:26.000,ORG
gayrelationships.nyc,2016-03-12T05:46:42.000,INDIV
jeffan.nyc,2014-10-15T16:10:43.000,INDIV
bootypop.nyc,2014-11-12T05:28:48.000,INDIV
thekennedys.nyc,2016-02-27T22:44:58.000,ORG
ursfischer.nyc,2014-10-03T15:54:38.000,ORG
eshane.nyc,2014-10-31T03:02:45.000,INDIV
bestsportsbarsnewyork.nyc,2015-06-16T01:20:42.000,ORG
constellationcapital.nyc,2015-06-24T14:17:21.000,INDIV
lazerlevi.nyc,2015-06-30T18:30:43.000,INDIV
bodysculptcenter.nyc,2014-10-08T15:01:19.000,ORG
smarterskin.nyc,2015-01-07T01:25:09.000,INDIV
wildponies.nyc,2014-10-27T05:00:21.000,INDIV
uncensored.nyc,2017-01-19T17:47:37.000,ORG
fit-journey.nyc,2017-03-09T22:18:05.000,ORG
nobu.nyc,2015-10-16T12:44:23.000,INDIV
nicegrowbox.nyc,2014-12-04T17:33:41.000,ORG
andreaskeller.nyc,2016-12-31T06:02:40.000,INDIV
longwave.nyc,2015-05-06T13:46:40.000,ORG
fiftyplus.nyc,2017-07-19T12:07:40.000,INDIV
willscookies.nyc,2014-11-09T21:27:37.000,INDIV
squarewine.nyc,2014-11-10T00:09:47.000,ORG
epssubstitute.nyc,2015-01-11T14:36:16.000,INDIV
sats.nyc,2015-01-24T08:24:58.000,INDIV
isobelrusse.nyc,2015-05-28T21:29:03.000,INDIV
krushstudios.nyc,2018-02-24T06:27:34.000,ORG
curvyassets.nyc,2018-02-24T03:42:47.000,ORG
grand.nyc,2017-01-13T23:38:09.000,ORG
mlmrealtruth.nyc,2015-05-27T21:31:38.000,INDIV
moondogvfx.nyc,2015-02-17T17:34:01.000,INDIV
guap.nyc,2014-10-10T13:46:42.000,INDIV
oneof.nyc,2014-11-20T05:00:46.000,INDIV
vrtours.nyc,2015-02-24T04:21:22.000,INDIV
699.nyc,2014-11-22T17:45:37.000,ORG
ivankatrump.nyc,2014-10-08T15:00:37.000,ORG
mamachia.nyc,2014-11-10T04:49:25.000,INDIV
hedgestar.nyc,2017-03-17T01:29:48.000,INDIV
nmi.nyc,2014-10-08T17:35:55.000,ORG
csfair.nyc,2015-12-18T22:58:32.000,ORG
bureaux.nyc,2016-04-05T14:37:10.000,ORG
hairstylist.nyc,2016-10-07T16:45:38.000,ORG
commercialfinancing.nyc,2014-11-08T01:37:14.000,INDIV
photowalk.nyc,2014-10-08T22:28:00.000,INDIV
akbar.nyc,2014-10-09T03:05:42.000,INDIV
janitorialdistributor.nyc,2015-01-28T18:57:14.000,INDIV
thisweek.nyc,2017-09-15T21:17:22.000,ORG
mattwood.nyc,2014-10-08T17:10:19.000,INDIV
companion.nyc,2014-10-08T15:00:19.000,ORG
davidtisch.nyc,2014-10-03T16:40:08.000,ORG
awad.nyc,2014-10-08T15:00:17.000,INDIV
wcg.nyc,2016-07-05T18:46:58.000,ORG
highrisefireandsecurity.nyc,2014-10-03T15:33:07.000,INDIV
jessicamcclintock.nyc,2015-09-11T14:56:53.000,ORG
thefightclub.nyc,2015-10-09T15:24:01.000,ORG
blist.nyc,2017-01-10T18:13:44.000,INDIV
svbfinancial.nyc,2014-10-03T15:32:49.000,INDIV
davidlerner.nyc,2014-10-03T15:54:10.000,ORG
graphicinstall.nyc,2014-10-24T21:32:09.000,ORG
mediamasters.nyc,2014-10-08T17:07:33.000,ORG
shoplemonade.nyc,2017-03-26T20:44:42.000,ORG
ratedrstudios.nyc,2016-10-23T21:09:28.000,ORG
insiders.nyc,2014-10-08T15:00:12.000,ORG
grovo.nyc,2014-10-08T15:01:18.000,ORG
streetworkshop.nyc,2015-06-25T16:45:01.000,INDIV
fatburger.nyc,2014-11-10T18:37:29.000,INDIV
decorators.nyc,2014-10-03T15:44:25.000,INDIV
oko.nyc,2015-05-23T18:24:38.000,INDIV
oilheat.nyc,2014-11-11T01:29:20.000,INDIV
chefemily.nyc,2016-01-01T01:46:13.000,ORG
defib.nyc,2015-06-15T08:31:08.000,ORG
gotapi.nyc,2015-10-29T21:16:49.000,INDIV
feednewyork.nyc,2014-10-10T12:27:30.000,ORG
harpergroup.nyc,2014-10-08T15:00:49.000,ORG
paulinelu.nyc,2015-01-27T23:30:39.000,INDIV
wwward.nyc,2014-10-03T15:34:39.000,INDIV
bluenile.nyc,2014-10-18T17:26:26.000,INDIV
handymen.nyc,2014-10-29T14:32:31.000,ORG
kewgardens.nyc,2016-05-24T14:57:22.000,ORG
louie.nyc,2015-10-08T20:11:50.000,ORG
adventureswiththelightgods.nyc,2014-10-03T15:55:17.000,INDIV
bsa-gnyc.nyc,2014-10-03T15:47:57.000,ORG
michaelgreenberg.nyc,2014-10-08T21:50:31.000,INDIV
bases.nyc,2017-07-18T03:18:02.000,INDIV
apartments4rent.nyc,2014-10-08T15:01:44.000,INDIV
mattheweck.nyc,2016-01-14T15:22:01.000,ORG
campaigns.nyc,2015-03-10T01:03:24.000,ORG
percussion.nyc,2014-10-29T02:44:54.000,ORG
coneyisland.nyc,2016-06-03T20:53:39.000,ORG
parknorthdentistry.nyc,2016-02-27T21:31:28.000,ORG
vanduzercivic.nyc,2017-02-05T04:29:53.000,ORG
saved.nyc,2014-10-14T00:14:10.000,ORG
