Doc_ID,Category,Description
0,Education,Student Discipline Annual Report - GRADE LEVEL
1,Health,The most popular baby names by sex and mother's ethnicity in New York City.
2,Housing & Development,Priority codes assigned to applicants by NYCHA
3,Education,K8 Class Size Report - Aggregated by Borough
4,Education,Missing
5,Education,Missing
6,Housing & Development,"List of capital projects with managing organization, phase status and project costs."
7,Social Services,"The dataset contains informaton on organizations and programs that responded to an annual e-mail from the Mayor's Office to Combat Domesitc Violence and indicated that they provide domestic violence related servcies in New York City. The dataset provides the following informaton: telephone number, fax number, hotline number, hours of operation, website, borough served, specific neoghborhood served, languages services provided in, location wheel chair accessible, any fees for services and specific services provided."
8,Public Safety,"Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009"
9,City Government,"This dataset contains capital commitment plan data by project type, budget line and source of funds.  The dollar values are in thousands.  The dataset is updated three times per year in Preliminary, Executive and Adopted Budget to match commitment numbers in the Capital Commitment Plan publication."
10,Social Services,A map of proposed new LinkNYC kiosk sites submitted by CityBridge currently under review by the Department of Information Technology and Telecommunications.
11,City Government,Demographic statistics broken down by assembly districts
12,Social Services,"This dataset provides benefit, program, and resource information for over 40 health and human services available to NYC residents. The data is kept up-to-date, including the most recent applications, eligibility requirements, and application dates. Information in this dataset is used on <a href=""http://access.nyc.gov"">ACCESS NYC</a> and <a href=""http://www.nyc.gov/growingupnyc"">Growing Up NYC</a>."
13,Education,Missing
14,Transportation,"This dataset includes trip records from all trips completed in green taxis in NYC in 2014.  Records include fields capturing pick-up and drop-off dates/times, pick-up and drop-off locations, trip distances, itemized fares, rate types, payment types, and driver-reported passenger counts. The data used in the attached datasets were collected and provided to the NYC Taxi and Limousine Commission (TLC) by technology providers authorized under the Livery Passenger Enhancement Program (LPEP).  The  trip data was not created by the TLC, and TLC makes no representations as to the accuracy of these data."
15,Education,Missing
16,City Government,"äó¢	Parking Violations Issued Fiscal Year 2018 can be found here https://data.cityofnewyork.us/d/pvqr-7yc4äó¢	Parking Violations Issued Fiscal Year 2016 can be found in the archived dataset here https://data.cityofnewyork.us/d/kiv2-tbusäó¢	Parking Violations Issued Fiscal Year 2015 can be found in the archived dataset here https://data.cityofnewyork.us/d/c284-tqphäó¢	Parking Violations Issued Fiscal Year 2014 can be found in the archived dataset here https://data.cityofnewyork.us/d/jt7v-77mi"
17,City Government,"This dataset contains estimated fiscal year-end headcount information for full-time and full-time equivalent employees (FTE).  The information is summarized by agency, personnel type and funding.  The amount fields are whole numbers.  The numbers within can be summarized to match pages from the publication äóìFull-Time and Full-Time Equivalent Staffing Levelsäóù."
18,City Government,"An agency-verified dataset of City-funded contracted social service provision locations.This is part of the <a <a href='https://data.cityofnewyork.us/browse?Data-Collection_Data-Collection=Verified+Locations+for+NYC+City-Funded+Social+Service+Contracts'>Verified Locations for NYC City-Funded Social Service Contracts collection</a>."
19,Environment,"Citywide street tree data from the 2005 Street Tree Census, conducted partly by volunteers organized by NYC Parks & Recreation. Trees were inventoried by address, and were collected from 2005-2006. Data collected includes tree species, diameter, condition."
20,Missing,"In June 2015, 18 New York City public schools closed for poor performance.  This report provides data regarding students enrolled in these schools during the 2014-2015 school year, according to the guidelines set by Local Law 2011/043"
21,Education,Five year plan summary cost by borough and  capital category.
22,Health,"Water quality sample results collected by the Department of Health and Mental Hygiene at all New York City Beaches. These water quality results are used by the Department to determine the status (open, advisory, closed) of Beaches."
23,Education,Missing
24,Transportation,"OPT maintains an inventory of all the vehicles used by contracted bus vendors in service to the Department of Education. The vehicles inventory can include school buses, ambulances or coach buses. This dataset details the active vehicle inventory for each bus vendor. There are a variety of different vehicles used to serve students requiring curb-to-curb service because an Individualized Education Plan (IEP) indicates specific transportation needs. The standard bus is the only vehicle used for general education students eligible for bus service but who do not have an IEP."
25,Education,Missing
26,Housing & Development,"This table displays currently advertised projects (type of work), estimated range ($) for project completion, bid date, time and projects description along with Project ID. It also provides link to plan holders information."
27,City Government,This table represents details of Family Health Plus insurance program. Family Health Plus is a public health insurance program for adults between the ages of 19 and 64 who do not have health insurance - either on their own or through their employers - but have incomes too high to qualify for Medicaid.  The Family Health Plus Premium Assistance Program is available to help eligible lower-income employees and their families participate in their employeräó»s health insurance plan.
28,Health,"Summary results from NYC Community Health Survey 2010-2014: adults ages 18 years and older Source: NYC Community Health Survey (CHS) 2010-14.The Community Health Survey (CHS) includes self-reported data from adults, years 18 and older. CHS has included adults with landline phones since 2002 and, starting in 2009, also has included adults who can be reached by cell-phone. Starting in 2011, CHS weighting methods were updated to use Census 2010 and additional demographic characteristics (http://www1.nyc.gov/assets/doh/downloads/pdf/epi/epiresearch-chsmethods.pdf ). Data are age-adjusted to the US 2000 Standard Population.	Data prepared by Bureau of Epidemiology Services, New York City Department of Health and Mental HygieneThe New York City Community Health Survey (CHS) is a telephone survey conducted annually by the DOHMH, Division of Epidemiology, Bureau of Epidemiology Services. CHS provides robust data on the health of New Yorkers, including neighborhood, borough, and citywide estimates on a broad range of chronic diseases and behavioral risk factors. The data are analyzed and disseminated to influence health program decisions, and increase the understanding of the relationship between health behavior and health status. For more information see EpiQuery, https://a816-healthpsi.nyc.gov/epiquery/CHS/CHSXIndex.html"
29,Transportation,"Monthly report including weekly total dispatched trips and unique dispatched vehicles by base tabulated from FHV Trip Record submissions made by bases. Note: The TLC publishes base trip record data as submitted by the bases, and we cannot guarantee or confirm their accuracy or completeness. Therefore, this may not represent the total amount of trips dispatched by all TLC-licensed bases. The TLC performs routine reviews of the records and takes enforcement actions when necessary to ensure, to the extent possible, complete and accurate information."
30,Education,Missing
31,Public Safety,"Average daily inmate population by fiscal yearNote: The data for each of these indicators is based upon year of report, not year of occurrence."
32,Public Safety,"A statistical breakdown of the age of Civilian Complaint Review Board (CCRB) substantiated cases, by year, measured from the date of the reports in the years 2205 through 2009.The age of the docket is measured by the number of open cases at the end of each reporting period."
33,Transportation,A Dispatch Service Provider (DSP) can dispatch trips on behalf of the FHV (For-Hire-Vehicle) Base.
34,Public Safety,"This is a breakdown of every collision in NYC by location and injury. This data is collected because the NYC Council passed Local Law #11 in 2011. This data is manually run every month and reviewed by the TrafficStat Unit before being posted on the NYPD website.  Each record represents a collision in NYC by city, borough, precinct and cross street. This data can be used by the public to see how dangerous/safe intersections are in NYC. The information is presented in pdf and excel format to allow the casual user to just view the information in the easy to read pdf format or use the excel files to do a more in-depth analysis."
35,Education,Official audited register by school.
36,Environment,"2010 steam consumption in mlbs and Mg, by ZIP code and building type."
37,City Government,"NYC agency performance indicators from the FY17 Mayor's Management Report (MMR)<i>Use äóÖCSV for Exceläó» when downloading this dataset and then sort in alphabetical order by Agency.<i>"
38,City Government,"The Doing Business Search provides access to information on entities and individuals that do business with the City of New York.http://www.nyc.gov/portal/site/DBusinessSite"
39,Education,Missing
40,Education,"(Grades 3 - 8)Notes Starting in 2013, the NY State Education Department (NYSED) changed the exams to be Common Core aligned. Results on earlier exams from 2006-2012 can be found at this link: http://schools.nyc.gov/NR/exeres/05289E74-2D81-4CC0-81F6-E1143E28F4C4,frameless.htmResults presented here include all students who sat for either the Math or ELA exam. On the NYSED website, results for ""matched"" students can be found. To account for participation changes across years and anticipate the importance of year-to-year same-cohort comparisons for the Class of 2022, ""matched"" Math and ELA results were calculated to include 4th grade students who were tested in both the current and previous year and to include 5th äóñ 8th grade students who were tested in all three years.In order to comply with FERPA regulations on public reporting of education outcomes, rows with 5 or fewer students are suppressed.For 2013, District 75 students are represented in their home districts and boroughs. For 2014 & 2015, they are not included.Charter schools are not included. School level charter data can be found here: http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResultsIn 2007, the New York State Education Department updated its testing policy for English Language Learners: ELLs in an English Language School System for more than one year are required to take the ELA exam. Previously, ELLs in an English Language School System for less than 3 years were exempt from taking the ELA exam. A change in State testing policy drove a decrease in eighth grade proficiency rates in 2014: to reduce double testing, most students in accelerated math courses who took the Algebra Regents exam were exempted from taking the 7th or 8th grade State math assessment.Former English Language Learners includes any students who were classified as English Language Learners in at least one of the previous two school years."
41,Public Safety,"Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009"
42,Education,Latest available data and trends in the state assessment results of math for grades 3 through 8. Data are disaggregated by gender.
43,Public Safety,CCRB: Disposition of Abuse of Authority Allegations 2007
44,City Government,Local Law 50 of 2011 required MOCS to establish guidelines for City agencies that assist in increasing the purchase of New York State food through food purchase and food-related services contracts. City agencies use the New York State Department of Agriculture and Markets (NYSDAM) list of food items available from New York State sources.
45,Education,Missing
46,Public Safety,"This dataset includes all valid felony, misdemeanor, and violation crimes reported to the New York City Police Department (NYPD) for all complete quarters so far this year (2016).  Offenses occurring at intersections are represented at the X Coordinate and Y Coordinate of the intersection. Crimes occurring anywhere other than an intersection are geo-located to the middle of the block. For additional details, please see the attached data dictionary in the äóÖAboutäó» section."